beginString,bodyLength,msgType,senderCompID,targetCompID,msgSeqNum,sendingTime,lastMsgSeqNumProcessed,text,possDupFlag,tradingSessionSubID,securityStatusReqID,securityType,maturityDate,issueDate,couponRate,issuer,securityDesc,buyVolume,symbol,lastPx,lowPx,highPx,securityTradingStatus,checkSum
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,AAA,AAA,500000,AAA,16700,15100,18300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ACB,ACB,500000,ACB,15500,14000,17000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ADC,ADC,500000,ADC,24500,22100,26900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ALT,ALT,500000,ALT,11800,10700,12900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ALV,ALV,500000,ALV,5700,5200,6200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,AMC,AMC,500000,AMC,20900,18900,22900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,AME,AME,500000,AME,4000,3600,4400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,AMV,AMV,500000,AMV,5000,4500,5500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,APG,APG,500000,APG,6400,5800,7000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,API,API,500000,API,15700,14200,17200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,APP,APP,500000,APP,13700,12400,15000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,APS,APS,500000,APS,6100,5500,6700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ARM,ARM,500000,ARM,20000,18000,22000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ASA,ASA,500000,ASA,16300,14700,17900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,B82,B82,500000,B82,10900,9900,11900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BBS,BBS,500000,BBS,14500,13100,15900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BCC,BCC,500000,BCC,13000,11700,14300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BDB,BDB,500000,BDB,6800,6200,7400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BED,BED,500000,BED,13200,11900,14500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BHT,BHT,500000,BHT,4300,3900,4700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BKC,BKC,500000,BKC,10700,9700,11700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BLF,BLF,500000,BLF,7300,6600,8000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BPC,BPC,500000,BPC,12100,10900,13300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BSC,BSC,500000,BSC,5900,5400,6400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BST,BST,500000,BST,13100,11800,14400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BTH,BTH,500000,BTH,8000,7200,8800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BTS,BTS,500000,BTS,7300,6600,8000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BVG,BVG,500000,BVG,2500,2300,2700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BVS,BVS,500000,BVS,14200,12900,15700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,BXH,BXH,500000,BXH,10800,9800,11800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,C92,C92,500000,C92,13100,11800,14400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CAN,CAN,500000,CAN,27200,24500,29900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CAP,CAP,500000,CAP,26300,23700,28900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CCM,CCM,500000,CCM,34300,30900,37700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CHP,CHP,500000,CHP,12500,11300,13700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CID,CID,500000,CID,4800,4400,5200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CJC,CJC,500000,CJC,25700,23200,28200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CKV,CKV,500000,CKV,8500,7700,9300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CMC,CMC,500000,CMC,5500,5000,6000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CMI,CMI,500000,CMI,16400,14800,18000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CMS,CMS,500000,CMS,12300,11100,13500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CPC,CPC,500000,CPC,25900,23400,28400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CSC,CSC,500000,CSC,12400,11200,13600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CT6,CT6,500000,CT6,7500,6800,8200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTA,CTA,500000,CTA,4600,4200,5000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTB,CTB,500000,CTB,32000,28800,35200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTC,CTC,500000,CTC,6500,5900,7100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTM,CTM,500000,CTM,3200,2900,3500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTN,CTN,500000,CTN,7800,7100,8500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTS,CTS,500000,CTS,9200,8300,10100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CTX,CTX,500000,CTX,8200,7400,9000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CVN,CVN,500000,CVN,2700,2500,2900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CVT,CVT,500000,CVT,35100,31600,38600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,CX8,CX8,500000,CX8,5400,4900,5900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,D11,D11,500000,D11,12200,11000,13400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DAC,DAC,500000,DAC,5500,5000,6000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DAD,DAD,500000,DAD,17300,15600,19000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DAE,DAE,500000,DAE,17000,15300,18700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DBC,DBC,500000,DBC,28500,25700,31300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DBT,DBT,500000,DBT,17400,15700,19100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DC2,DC2,500000,DC2,4700,4300,5100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DC4,DC4,500000,DC4,7800,7100,8500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DCS,DCS,500000,DCS,5500,5000,6000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DHP,DHP,500000,DHP,9000,8100,9900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DHT,DHT,500000,DHT,32500,29300,35700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DID,DID,500000,DID,5800,5300,6300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DIH,DIH,500000,DIH,9400,8500,10300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DL1,DL1,500000,DL1,9000,8100,9900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DLR,DLR,500000,DLR,6400,5800,7000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DNC,DNC,500000,DNC,19200,17300,21100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DNM,DNM,500000,DNM,35200,31700,38700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DNP,DNP,500000,DNP,20100,18100,22100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DNY,DNY,500000,DNY,5700,5200,6200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DPC,DPC,500000,DPC,14000,12600,15400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DST,DST,500000,DST,5400,4900,5900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DXP,DXP,500000,DXP,43000,38700,47300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,DZM,DZM,500000,DZM,5000,4500,5500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,EBS,EBS,500000,EBS,8600,7800,9400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ECI,ECI,500000,ECI,20800,18800,22800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,EFI,EFI,500000,EFI,6400,5800,7000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,EID,EID,500000,EID,13100,11800,14400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,FDT,FDT,500000,FDT,26500,23900,29100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,FIT,FIT,500000,FIT,26400,23800,29000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,GLT,GLT,500000,GLT,19000,17100,20900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,GMX,GMX,500000,GMX,9400,8500,10300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HAD,HAD,500000,HAD,42000,37800,46200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HAT,HAT,500000,HAT,49900,45000,54800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HBE,HBE,500000,HBE,3800,3500,4100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HBS,HBS,500000,HBS,5000,4500,5500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HCC,HCC,500000,HCC,11200,10100,12300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HCT,HCT,500000,HCT,10000,9000,11000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HDA,HDA,500000,HDA,11000,9900,12100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HDO,HDO,500000,HDO,3500,3200,3800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HEV,HEV,500000,HEV,13400,12100,14700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HGM,HGM,500000,HGM,49200,44300,54100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HHC,HHC,500000,HHC,29900,27000,32800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HHG,HHG,500000,HHG,7300,6600,8000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HJS,HJS,500000,HJS,10900,9900,11900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HLC,HLC,500000,HLC,8800,8000,9600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HLD,HLD,500000,HLD,16900,15300,18500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HLY,HLY,500000,HLY,9800,8900,10700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HMH,HMH,500000,HMH,25900,23400,28400,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HNM,HNM,500000,HNM,14800,13400,16200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HOM,HOM,500000,HOM,8400,7600,9200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HPC,HPC,500000,HPC,5300,4800,5800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HPS,HPS,500000,HPS,5200,4700,5700,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HST,HST,500000,HST,4900,4500,5300,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HTC,HTC,500000,HTC,32400,29200,35600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HTP,HTP,500000,HTP,10100,9100,11100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HUT,HUT,500000,HUT,10900,9900,11900,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,HVT,HVT,500000,HVT,18000,16200,19800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ICG,ICG,500000,ICG,8300,7500,9100,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,IDJ,IDJ,500000,IDJ,4200,3800,4600,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,IDV,IDV,500000,IDV,63500,57200,69800,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,INC,INC,500000,INC,4600,4200,5000,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,INN,INN,500000,INN,33900,30600,37200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,ITQ,ITQ,500000,ITQ,10500,9500,11500,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,IVS,IVS,500000,IVS,12000,10800,13200,17,
FIX.4.4,,,,,,,,,,LIS_BRD_01,,CS,00010101-00:00:00,00010101-00:00:00,,KHB,KHB,500000,KHB,4700,4300,5100,17,
